state,median_income,year
AK,32360.0,1984
AK,34780.0,1985
AK,31360.0,1986
AK,33230.0,1987
AK,33100.0,1988
AK,36010.0,1989
AK,39300.0,1990
AK,40610.0,1991
AK,41800.0,1992
AK,42930.0,1993
AK,45370.0,1994
AK,47950.0,1995
AK,52780.0,1996
AK,47990.0,1997
AK,50690.0,1998
AK,51400.0,1999
AK,52850.0,2000
AK,57360.0,2001
AK,52770.0,2002
AK,51840.0,2003
AK,55060.0,2004
AK,55890.0,2005
AK,56420.0,2006
AK,62990.0,2007
AK,63990.0,2008
AK,61600.0,2009
AK,57850.0,2010
AK,57430.0,2011
AK,63650.0,2012
AK,72470.0,2013
AK,67630.0,2014
AK,75110.0,2015
AK,75720.0,2016
AK,77990.0,2017
AK,68730.0,2018
AK,78390.0,2019
AK,74750.0,2020
AK,81130.0,2021
AK,89740.0,2022
AK,98190.0,2023
AK,91260.0,2024
AL,17310.0,1984
AL,18330.0,1985
AL,19130.0,1986
AL,19730.0,1987
AL,19950.0,1988
AL,21280.0,1989
AL,23360.0,1990
AL,24350.0,1991
AL,25810.0,1992
AL,25080.0,1993
AL,27200.0,1994
AL,25990.0,1995
AL,30300.0,1996
AL,31940.0,1997
AL,36270.0,1998
AL,36250.0,1999
AL,35420.0,2000
AL,35160.0,2001
AL,37600.0,2002
AL,37260.0,2003
AL,36630.0,2004
AL,37150.0,2005
AL,37950.0,2006
AL,42210.0,2007
AL,44480.0,2008
AL,39980.0,2009
AL,40930.0,2010
AL,42590.0,2011
AL,43460.0,2012
AL,47320.0,2013
AL,42280.0,2014
AL,44510.0,2015
AL,47220.0,2016
AL,50870.0,2017
AL,49940.0,2018
AL,56200.0,2019
AL,54690.0,2020
AL,56930.0,2021
AL,59910.0,2022
AL,60660.0,2023
AL,65560.0,2024
AR,15670.0,1984
AR,17450.0,1985
AR,18730.0,1986
AR,18830.0,1987
AR,20170.0,1988
AR,21430.0,1989
AR,22790.0,1990
AR,23440.0,1991
AR,23880.0,1992
AR,23040.0,1993
AR,25570.0,1994
AR,25810.0,1995
AR,27120.0,1996
AR,26160.0,1997
AR,27670.0,1998
AR,29680.0,1999
AR,29700.0,2000
AR,33340.0,2001
AR,32390.0,2002
AR,32000.0,2003
AR,34980.0,2004
AR,36660.0,2005
AR,37060.0,2006
AR,40800.0,2007
AR,39590.0,2008
AR,36540.0,2009
AR,38590.0,2010
AR,41300.0,2011
AR,39020.0,2012
AR,39380.0,2013
AR,44920.0,2014
AR,42800.0,2015
AR,45910.0,2016
AR,49750.0,2017
AR,49780.0,2018
AR,54540.0,2019
AR,50780.0,2020
AR,50780.0,2021
AR,53980.0,2022
AR,63250.0,2023
AR,64840.0,2024
AZ,21430.0,1984
AZ,23880.0,1985
AZ,25500.0,1986
AZ,26750.0,1987
AZ,26440.0,1988
AZ,28550.0,1989
AZ,29220.0,1990
AZ,30740.0,1991
AZ,29360.0,1992
AZ,30510.0,1993
AZ,31290.0,1994
AZ,30860.0,1995
AZ,31640.0,1996
AZ,32740.0,1997
AZ,37090.0,1998
AZ,37000.0,1999
AZ,39780.0,2000
AZ,42700.0,2001
AZ,39730.0,2002
AZ,41170.0,2003
AZ,43850.0,2004
AZ,45250.0,2005
AZ,46660.0,2006
AZ,47220.0,2007
AZ,46910.0,2008
AZ,45740.0,2009
AZ,46900.0,2010
