state,year,effective_min_wage
AK,1968,2.1
AK,1969,2.1
AK,1970,2.1
AK,1971,2.1
AK,1972,2.1
AK,1973,2.1
AK,1974,2.1
AK,1975,2.1
AK,1976,2.8
AK,1977,2.8
AK,1978,2.8
AK,1979,3.4
AK,1980,3.6
AK,1981,3.85
AK,1982,3.85
AK,1983,3.85
AK,1984,3.85
AK,1985,3.85
AK,1986,3.85
AK,1987,3.85
AK,1988,3.85
AK,1989,3.85
AK,1990,3.85
AK,1991,4.3
AK,1992,4.75
AK,1993,4.75
AK,1994,4.75
AK,1995,4.75
AK,1996,4.75
AK,1997,5.25
AK,1998,5.65
AK,1999,5.65
AK,2000,5.65
AK,2001,5.65
AK,2002,5.65
AK,2003,7.15
AK,2004,7.15
AK,2005,7.15
AK,2006,7.15
AK,2007,7.15
AK,2008,7.15
AK,2009,7.25
AK,2010,7.75
AK,2011,7.75
AK,2012,7.75
AK,2013,7.75
AK,2014,7.75
AK,2015,8.75
AK,2016,9.75
AK,2017,9.8
AK,2018,9.84
AK,2019,9.89
AK,2020,10.19
AK,2021,10.34
AK,2022,10.34
AK,2023,10.85
AK,2024,11.73
AK,2025,11.91
AK,2026,14.0
AL,1968,1.6
AL,1969,1.6
AL,1970,1.6
AL,1971,1.6
AL,1972,1.6
AL,1973,1.6
AL,1974,2.0
AL,1975,2.1
AL,1976,2.3
AL,1977,2.3
AL,1978,2.65
AL,1979,2.9
AL,1980,3.1
AL,1981,3.35
AL,1982,3.35
AL,1983,3.35
AL,1984,3.35
AL,1985,3.35
AL,1986,3.35
AL,1987,3.35
AL,1988,3.35
AL,1989,3.35
AL,1990,3.8
AL,1991,4.25
AL,1992,4.25
AL,1993,4.25
AL,1994,4.25
AL,1995,4.25
AL,1996,4.75
AL,1997,5.15
AL,1998,5.15
AL,1999,5.15
AL,2000,5.15
AL,2001,5.15
AL,2002,5.15
AL,2003,5.15
AL,2004,5.15
AL,2005,5.15
AL,2006,5.15
AL,2007,5.85
