state,year,pct_unemployed,effective_min_wage,median_income,pct_poverty,above_federal_floor
AK,1995,7.3,4.75,47950.0,10.1,1
AK,1996,7.5,4.75,52780.0,10.6,0
AK,1997,7.0,5.25,47990.0,11.2,1
AK,1998,6.3,5.65,50690.0,10.8,1
AK,1999,6.4,5.65,51400.0,8.8,1
AK,2000,6.3,5.65,52850.0,8.5,1
AK,2001,6.3,5.65,57360.0,8.7,1
AK,2002,7.2,5.65,52770.0,9.3,1
AK,2003,7.7,7.15,51840.0,9.8,1
AK,2004,7.4,7.15,55060.0,10.0,1
AK,2005,6.9,7.15,55890.0,10.8,1
AK,2006,6.6,7.15,56420.0,10.9,1
AK,2007,6.2,7.15,62990.0,9.8,1
AK,2008,6.5,7.15,63990.0,9.2,1
AK,2009,7.8,7.25,61600.0,9.1,0
AK,2010,8.0,7.75,57850.0,11.0,1
AK,2011,7.6,7.75,57430.0,10.8,1
AK,2012,7.1,7.75,63650.0,10.8,1
AK,2013,6.9,7.75,72470.0,10.1,1
AK,2014,6.7,7.75,67630.0,11.4,1
AK,2015,6.3,8.75,75110.0,10.4,1
AK,2016,6.6,9.75,75720.0,9.9,1
AK,2017,6.6,9.8,77990.0,11.0,1
AK,2018,6.1,9.84,68730.0,11.1,1
AK,2019,5.6,9.89,78390.0,10.2,1
AK,2020,8.3,10.19,74750.0,9.6,1
AK,2021,6.4,10.34,81130.0,10.8,1
AK,2022,4.4,10.34,89740.0,10.8,1
AK,2023,4.2,10.85,98190.0,10.5,1
AK,2024,4.5,11.73,91260.0,10.3,1
AL,1995,5.9,4.25,25990.0,17.6,0
AL,1996,5.2,4.75,30300.0,16.7,0
AL,1997,5.0,5.15,31940.0,16.2,0
AL,1998,4.5,5.15,36270.0,15.7,0
AL,1999,4.7,5.15,36250.0,15.3,0
AL,2000,4.6,5.15,35420.0,14.6,0
AL,2001,5.1,5.15,35160.0,15.7,0
AL,2002,5.9,5.15,37600.0,15.4,0
AL,2003,6.0,5.15,37260.0,15.3,0
AL,2004,5.6,5.15,36630.0,16.1,0
AL,2005,4.5,5.15,37150.0,16.9,0
AL,2006,4.0,5.15,37950.0,16.6,0
AL,2007,4.1,5.85,42210.0,16.6,0
AL,2008,5.9,6.55,44480.0,15.9,0
AL,2009,9.7,7.25,39980.0,17.5,0
AL,2010,10.4,7.25,40930.0,18.9,0
AL,2011,9.6,7.25,42590.0,19.1,0
AL,2012,8.2,7.25,43460.0,19.0,0
AL,2013,7.4,7.25,47320.0,18.9,0
AL,2014,6.8,7.25,42280.0,19.2,0
AL,2015,6.1,7.25,44510.0,18.5,0
AL,2016,5.8,7.25,47220.0,17.2,0
AL,2017,4.5,7.25,50870.0,16.9,0
AL,2018,3.9,7.25,49940.0,16.8,0
AL,2019,3.2,7.25,56200.0,15.6,0
AL,2020,6.4,7.25,54690.0,14.9,0
AL,2021,3.4,7.25,56930.0,16.3,0
AL,2022,2.5,7.25,59910.0,16.2,0
AL,2023,2.5,7.25,60660.0,15.7,0
AL,2024,3.0,7.25,65560.0,15.2,0
AR,1995,4.9,4.25,25810.0,18.2,0
AR,1996,5.2,4.75,27120.0,17.6,0
AR,1997,5.1,5.15,26160.0,17.5,0
AR,1998,5.0,5.15,27670.0,16.4,0
AR,1999,4.5,5.15,29680.0,15.1,0
AR,2000,4.2,5.15,29700.0,15.0,0
AR,2001,4.7,5.15,33340.0,15.9,0
AR,2002,5.3,5.15,32390.0,16.3,0
AR,2003,5.8,5.15,32000.0,16.0,0
AR,2004,5.6,5.15,34980.0,15.6,0
AR,2005,5.3,5.15,36660.0,17.2,0
AR,2006,5.2,5.15,37060.0,17.3,0
AR,2007,5.4,6.25,40800.0,17.6,1
AR,2008,5.4,6.55,39590.0,17.3,0
AR,2009,7.7,7.25,36540.0,18.5,0
AR,2010,7.8,7.25,38590.0,18.7,0
AR,2011,7.9,7.25,41300.0,19.3,0
AR,2012,7.3,7.25,39020.0,19.6,0
AR,2013,7.0,7.25,39380.0,19.4,0
AR,2014,5.9,7.25,44920.0,18.7,0
AR,2015,5.0,7.5,42800.0,18.7,1
AR,2016,4.0,8.0,45910.0,17.2,1
AR,2017,3.7,8.5,49750.0,16.3,1
AR,2018,3.6,8.5,49780.0,16.8,1
AR,2019,3.5,9.25,54540.0,16.0,1
AR,2020,6.2,10.0,50780.0,15.2,1
AR,2021,4.0,11.0,50780.0,16.0,1
AR,2022,3.2,11.0,53980.0,16.3,1
AR,2023,3.2,11.0,63250.0,15.4,1
AR,2024,3.5,11.0,64840.0,15.3,1
AZ,1995,5.3,4.25,30860.0,16.3,0
AZ,1996,5.5,4.75,31640.0,16.3,0
AZ,1997,4.6,5.15,32740.0,15.5,0
AZ,1998,4.2,5.15,37090.0,14.9,0
AZ,1999,4.5,5.15,37000.0,12.8,0
AZ,2000,4.0,5.15,39780.0,12.5,0
AZ,2001,4.7,5.15,42700.0,13.2,0
AZ,2002,6.2,5.15,39730.0,13.6,0
AZ,2003,5.8,5.15,41170.0,13.9,0
AZ,2004,5.0,5.15,43850.0,14.6,0
