state,year,pct_unemployed
AK,1976,7.6
AK,1977,9.8
AK,1978,10.6
AK,1979,9.0
AK,1980,9.5
AK,1981,9.2
AK,1982,10.0
AK,1983,10.1
AK,1984,9.9
AK,1985,9.8
AK,1986,11.0
AK,1987,10.2
AK,1988,8.8
AK,1989,7.1
AK,1990,7.2
AK,1991,8.3
AK,1992,8.8
AK,1993,7.8
AK,1994,7.6
AK,1995,7.3
AK,1996,7.5
AK,1997,7.0
AK,1998,6.3
AK,1999,6.4
AK,2000,6.3
AK,2001,6.3
AK,2002,7.2
AK,2003,7.7
AK,2004,7.4
AK,2005,6.9
AK,2006,6.6
AK,2007,6.2
AK,2008,6.5
AK,2009,7.8
AK,2010,8.0
AK,2011,7.6
AK,2012,7.1
AK,2013,6.9
AK,2014,6.7
AK,2015,6.3
AK,2016,6.6
AK,2017,6.6
AK,2018,6.1
AK,2019,5.6
AK,2020,8.3
AK,2021,6.4
AK,2022,4.4
AK,2023,4.2
AK,2024,4.5
AL,1976,6.7
AL,1977,7.1
AL,1978,6.4
AL,1979,7.2
AL,1980,8.7
AL,1981,10.8
AL,1982,13.8
AL,1983,13.9
AL,1984,11.4
AL,1985,9.6
AL,1986,9.5
AL,1987,8.2
AL,1988,7.3
AL,1989,7.0
AL,1990,6.8
AL,1991,7.3
AL,1992,7.5
AL,1993,7.2
AL,1994,6.2
AL,1995,5.9
AL,1996,5.2
AL,1997,5.0
AL,1998,4.5
AL,1999,4.7
AL,2000,4.6
AL,2001,5.1
AL,2002,5.9
AL,2003,6.0
AL,2004,5.6
AL,2005,4.5
AL,2006,4.0
AL,2007,4.1
AL,2008,5.9
AL,2009,9.7
AL,2010,10.4
AL,2011,9.6
AL,2012,8.2
AL,2013,7.4
AL,2014,6.8
AL,2015,6.1
AL,2016,5.8
AL,2017,4.5
AL,2018,3.9
AL,2019,3.2
AL,2020,6.4
AL,2021,3.4
AL,2022,2.5
AL,2023,2.5
AL,2024,3.0
AR,1976,6.9
AR,1977,6.5
AR,1978,6.2
AR,1979,6.3
AR,1980,7.5
AR,1981,8.6
AR,1982,9.5
AR,1983,9.7
AR,1984,8.5
AR,1985,8.5
AR,1986,8.5
AR,1987,8.1
AR,1988,7.7
AR,1989,7.0
AR,1990,6.9
AR,1991,7.3
AR,1992,7.0
AR,1993,6.1
AR,1994,5.5
AR,1995,4.9
AR,1996,5.2
AR,1997,5.1
AR,1998,5.0
AR,1999,4.5
AR,2000,4.2
AR,2001,4.7
AR,2002,5.3
AR,2003,5.8
AR,2004,5.6
AR,2005,5.3
AR,2006,5.2
AR,2007,5.4
AR,2008,5.4
AR,2009,7.7
AR,2010,7.8
AR,2011,7.9
AR,2012,7.3
AR,2013,7.0
AR,2014,5.9
AR,2015,5.0
AR,2016,4.0
AR,2017,3.7
AR,2018,3.6
AR,2019,3.5
AR,2020,6.2
AR,2021,4.0
AR,2022,3.2
AR,2023,3.2
AR,2024,3.5
AZ,1976,9.8
AZ,1977,8.4
AZ,1978,6.0
AZ,1979,5.1
AZ,1980,6.6
AZ,1981,6.2
AZ,1982,9.9
AZ,1983,9.1
AZ,1984,5.0
AZ,1985,6.3
AZ,1986,7.0
AZ,1987,6.5
AZ,1988,6.4
AZ,1989,5.3
AZ,1990,5.2
AZ,1991,5.9
AZ,1992,7.6
AZ,1993,6.3
AZ,1994,6.2
AZ,1995,5.3
AZ,1996,5.5
AZ,1997,4.6
AZ,1998,4.2
AZ,1999,4.5
AZ,2000,4.0
AZ,2001,4.7
AZ,2002,6.2
AZ,2003,5.8
AZ,2004,5.0
AZ,2005,4.6
AZ,2006,4.3
AZ,2007,3.7
AZ,2008,5.8
AZ,2009,9.7
AZ,2010,10.4
AZ,2011,9.5
AZ,2012,8.4
AZ,2013,7.8
AZ,2014,6.8
AZ,2015,6.1
AZ,2016,5.5
AZ,2017,5.0
AZ,2018,4.8
AZ,2019,4.8
AZ,2020,7.8
AZ,2021,5.0
AZ,2022,3.7
AZ,2023,3.7
AZ,2024,3.7
CA,1976,9.2
CA,1977,8.4
CA,1978,7.2
CA,1979,6.2
CA,1980,6.9
CA,1981,7.4
CA,1982,10.1
