state,date,value
AL,1989-01-01,17.7
AL,1990-01-01,
AL,1991-01-01,
AL,1992-01-01,
AL,1993-01-01,18.8
AL,1994-01-01,
AL,1995-01-01,17.6
AL,1996-01-01,16.7
AL,1997-01-01,16.2
AL,1998-01-01,15.7
AL,1999-01-01,15.3
AL,2000-01-01,14.6
AL,2001-01-01,15.7
AL,2002-01-01,15.4
AL,2003-01-01,15.3
AL,2004-01-01,16.1
AL,2005-01-01,16.9
AL,2006-01-01,16.6
AL,2007-01-01,16.6
AL,2008-01-01,15.9
AL,2009-01-01,17.5
AL,2010-01-01,18.9
AL,2011-01-01,19.1
AL,2012-01-01,19.0
AL,2013-01-01,18.9
AL,2014-01-01,19.2
AL,2015-01-01,18.5
AL,2016-01-01,17.2
AL,2017-01-01,16.9
AL,2018-01-01,16.8
AL,2019-01-01,15.6
AL,2020-01-01,14.9
AL,2021-01-01,16.3
AL,2022-01-01,16.2
AL,2023-01-01,15.7
AL,2024-01-01,15.2
AK,1989-01-01,10.6
AK,1990-01-01,
AK,1991-01-01,
AK,1992-01-01,
AK,1993-01-01,11.2
AK,1994-01-01,
AK,1995-01-01,10.1
AK,1996-01-01,10.6
AK,1997-01-01,11.2
AK,1998-01-01,10.8
AK,1999-01-01,8.8
AK,2000-01-01,8.5
AK,2001-01-01,8.7
AK,2002-01-01,9.3
AK,2003-01-01,9.8
AK,2004-01-01,10.0
AK,2005-01-01,10.8
AK,2006-01-01,10.9
AK,2007-01-01,9.8
AK,2008-01-01,9.2
AK,2009-01-01,9.1
AK,2010-01-01,11.0
AK,2011-01-01,10.8
AK,2012-01-01,10.8
AK,2013-01-01,10.1
AK,2014-01-01,11.4
AK,2015-01-01,10.4
AK,2016-01-01,9.9
AK,2017-01-01,11.0
AK,2018-01-01,11.1
AK,2019-01-01,10.2
AK,2020-01-01,9.6
AK,2021-01-01,10.8
AK,2022-01-01,10.8
AK,2023-01-01,10.5
AK,2024-01-01,10.3
AZ,1989-01-01,14.7
AZ,1990-01-01,
AZ,1991-01-01,
AZ,1992-01-01,
AZ,1993-01-01,18.5
AZ,1994-01-01,
AZ,1995-01-01,16.3
AZ,1996-01-01,16.3
AZ,1997-01-01,15.5
AZ,1998-01-01,14.9
AZ,1999-01-01,12.8
AZ,2000-01-01,12.5
AZ,2001-01-01,13.2
AZ,2002-01-01,13.6
AZ,2003-01-01,13.9
AZ,2004-01-01,14.6
AZ,2005-01-01,14.4
AZ,2006-01-01,14.2
AZ,2007-01-01,14.1
AZ,2008-01-01,14.7
AZ,2009-01-01,16.5
AZ,2010-01-01,17.6
AZ,2011-01-01,19.0
AZ,2012-01-01,18.7
AZ,2013-01-01,18.6
AZ,2014-01-01,18.2
AZ,2015-01-01,17.4
AZ,2016-01-01,16.4
AZ,2017-01-01,14.9
AZ,2018-01-01,14.1
AZ,2019-01-01,13.5
AZ,2020-01-01,12.8
AZ,2021-01-01,12.9
AZ,2022-01-01,12.5
AZ,2023-01-01,12.6
AZ,2024-01-01,11.9
AR,1989-01-01,17.9
AR,1990-01-01,
AR,1991-01-01,
AR,1992-01-01,
AR,1993-01-01,18.9
AR,1994-01-01,
AR,1995-01-01,18.2
AR,1996-01-01,17.6
AR,1997-01-01,17.5
AR,1998-01-01,16.4
AR,1999-01-01,15.1
AR,2000-01-01,15.0
AR,2001-01-01,15.9
AR,2002-01-01,16.3
AR,2003-01-01,16.0
AR,2004-01-01,15.6
AR,2005-01-01,17.2
AR,2006-01-01,17.3
AR,2007-01-01,17.6
AR,2008-01-01,17.3
AR,2009-01-01,18.5
AR,2010-01-01,18.7
AR,2011-01-01,19.3
AR,2012-01-01,19.6
AR,2013-01-01,19.4
AR,2014-01-01,18.7
AR,2015-01-01,18.7
AR,2016-01-01,17.2
